img-dnn,xapian,masstree,50,20,100,hist
1.704,4.768,3.43,0.03408,0.2384,0.0343,0.10226
3.142,5.169,3.534,0.06284,0.25845,0.03534,0.118876667
1.918,204.391,4.675,0.03836,10.21955,0.04675,3.434886667
1.646,4.822,3.173,0.03292,0.2411,0.03173,0.101916667
2.303,2784.833,5.085,0.04606,139.24165,0.05085,46.44618667
1.989,6.647,51.477,0.03978,0.33235,0.51477,0.295633333
1.685,5.8,3.59,0.0337,0.29,0.0359,0.119866667
1.75,5.616,69.077,0.035,0.2808,0.69077,0.335523333
1.995,150.944,7.364,0.0399,7.5472,0.07364,2.55358
1.692,4.851,3.616,0.03384,0.24255,0.03616,0.104183333
2.148,6.616,63.932,0.04296,0.3308,0.63932,0.337693333
1.934,186.795,4.664,0.03868,9.33975,0.04664,3.14169
1.647,6.415,3.613,0.03294,0.32075,0.03613,0.12994
1.752,5.756,3.45,0.03504,0.2878,0.0345,0.119113333
458.387,5.745,4.889,9.16774,0.28725,0.04889,3.16796
1.759,187.604,5.769,0.03518,9.3802,0.05769,3.15769
1.95,235.669,4.991,0.039,11.78345,0.04991,3.957453333
1.946,5.472,4.651,0.03892,0.2736,0.04651,0.119676667
1.944,6.659,37.03,0.03888,0.33295,0.3703,0.247376667
1.751,5.67,47.526,0.03502,0.2835,0.47526,0.264593333
1.716,4.798,3.248,0.03432,0.2399,0.03248,0.102233333
2.012,6.588,48.62,0.04024,0.3294,0.4862,0.28528
1.728,5.33,4.727,0.03456,0.2665,0.04727,0.11611
4.141,2658.516,9.326,0.08282,132.9258,0.09326,44.36729333
1.883,6.137,45.173,0.03766,0.30685,0.45173,0.265413333
346.343,4.792,6.228,6.92686,0.2396,0.06228,2.40958
1.606,5.385,46.324,0.03212,0.26925,0.46324,0.25487
4.313,6.343,117.91,0.08626,0.31715,1.1791,0.527503333
2.219,5.761,3.212,0.04438,0.28805,0.03212,0.121516667
1.726,6.424,3.333,0.03452,0.3212,0.03333,0.129683333
1.734,6.708,69.858,0.03468,0.3354,0.69858,0.35622
4.192,5.768,4.7,0.08384,0.2884,0.047,0.139746667
1.716,6.854,3.415,0.03432,0.3427,0.03415,0.137056667
1.967,6.728,41.637,0.03934,0.3364,0.41637,0.264036667
336.48,5.724,4.976,6.7296,0.2862,0.04976,2.355186667
2.224,5.744,3.406,0.04448,0.2872,0.03406,0.121913333
1.843,6.643,38.639,0.03686,0.33215,0.38639,0.2518
3.181,5.635,4.546,0.06362,0.28175,0.04546,0.130276667
2.133,6.602,78.043,0.04266,0.3301,0.78043,0.384396667
1.647,4.643,4.549,0.03294,0.23215,0.04549,0.103526667
1.883,58.187,5.705,0.03766,2.90935,0.05705,1.001353333
2.236,5.625,3.494,0.04472,0.28125,0.03494,0.120303333
1.727,6.255,4.631,0.03454,0.31275,0.04631,0.1312
1.471,6.336,46.459,0.02942,0.3168,0.46459,0.27027
1.965,54.357,5.768,0.0393,2.71785,0.05768,0.938276667
1.733,5.739,3.315,0.03466,0.28695,0.03315,0.118253333
2.127,29.517,5.846,0.04254,1.47585,0.05846,0.525616667
2.825,4.95,3.502,0.0565,0.2475,0.03502,0.113006667
1.997,10.333,3.448,0.03994,0.51665,0.03448,0.197023333
1.972,6.846,60.634,0.03944,0.3423,0.60634,0.32936
1.705,4.821,3.199,0.0341,0.24105,0.03199,0.10238
1.666,4.725,3.626,0.03332,0.23625,0.03626,0.101943333
1.495,5.532,3.355,0.0299,0.2766,0.03355,0.11335
2.713,5.697,4.746,0.05426,0.28485,0.04746,0.128856667
1.86,5.622,3.483,0.0372,0.2811,0.03483,0.11771
1.599,5.122,3.366,0.03198,0.2561,0.03366,0.107246667
4.286,4.859,7.321,0.08572,0.24295,0.07321,0.13396
3.937,5.67,4.506,0.07874,0.2835,0.04506,0.135766667
1.702,6.53,3.533,0.03404,0.3265,0.03533,0.131956667
2.828,10.176,7.131,0.05656,0.5088,0.07131,0.212223333
2.049,5.679,3.347,0.04098,0.28395,0.03347,0.119466667
1.724,5.79,39.816,0.03448,0.2895,0.39816,0.240713333
1.724,4.814,3.214,0.03448,0.2407,0.03214,0.10244
3.202,4.724,7.315,0.06404,0.2362,0.07315,0.124463333
1.722,5.028,3.366,0.03444,0.2514,0.03366,0.1065
1.757,4.748,5.481,0.03514,0.2374,0.05481,0.109116667
1.675,5.186,3.334,0.0335,0.2593,0.03334,0.108713333
1.639,4.839,3.522,0.03278,0.24195,0.03522,0.103316667
7.338,5.754,3.553,0.14676,0.2877,0.03553,0.156663333
556.473,5.225,150.454,11.12946,0.26125,1.50454,4.298416667
5.151,5.681,4.654,0.10302,0.28405,0.04654,0.144536667
1.568,5.495,3.222,0.03136,0.27475,0.03222,0.112776667
1.72,4.868,3.58,0.0344,0.2434,0.0358,0.104533333
1.958,5.15,5.678,0.03916,0.2575,0.05678,0.117813333
1.774,107.195,7.243,0.03548,5.35975,0.07243,1.822553333
405.114,7.976,50.665,8.10228,0.3988,0.50665,3.002576667
1.714,4.941,4.912,0.03428,0.24705,0.04912,0.11015
1.681,4.817,3.735,0.03362,0.24085,0.03735,0.10394
1.591,5.674,48.277,0.03182,0.2837,0.48277,0.266096667
1.747,4.685,4.788,0.03494,0.23425,0.04788,0.10569
1.657,4.727,4.753,0.03314,0.23635,0.04753,0.105673333
1.679,4.874,3.28,0.03358,0.2437,0.0328,0.10336
1.675,4.89,3.443,0.0335,0.2445,0.03443,0.104143333
1.938,4.684,5.928,0.03876,0.2342,0.05928,0.110746667
1.705,5.109,3.232,0.0341,0.25545,0.03232,0.10729
1.657,68.801,5.649,0.03314,3.44005,0.05649,1.17656
1.652,5.125,3.398,0.03304,0.25625,0.03398,0.107756667
2.91,5.161,3.53,0.0582,0.25805,0.0353,0.117183333
1.67,111.974,6.035,0.0334,5.5987,0.06035,1.897483333
1.891,5.584,3.707,0.03782,0.2792,0.03707,0.11803
1.644,4.853,4.415,0.03288,0.24265,0.04415,0.10656
1.658,9.204,4.562,0.03316,0.4602,0.04562,0.17966
3.444,39.223,6.993,0.06888,1.96115,0.06993,0.699986667
1.686,5.686,3.281,0.03372,0.2843,0.03281,0.116943333
1.707,4.899,3.287,0.03414,0.24495,0.03287,0.103986667
1.704,5.589,64.775,0.03408,0.27945,0.64775,0.320426667
1.874,4.876,5.886,0.03748,0.2438,0.05886,0.11338
2.019,5.823,3.513,0.04038,0.29115,0.03513,0.12222
3.188,5.419,5.053,0.06376,0.27095,0.05053,0.128413333
287.694,6.713,9.255,5.75388,0.33565,0.09255,2.060693333
1.769,4.84,3.24,0.03538,0.242,0.0324,0.10326
1.853,5.726,3.301,0.03706,0.2863,0.03301,0.11879
